Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.522891998291,10.8265390396118,11.5997629165649,12.2573537826538,12.9603834152222,13.3497800827026,13.6958312988281,14.2116680145264,14.5339031219482,15.5469007492065,16.4737777709961,16.9301433563232,17.5303153991699,18.5525245666504,18.8638000488281,19.9434547424316,20.8069667816162,21.3405151367188,22.0473480224609,22.3649482727051,23.5297145843506,24.0856456756592,24.9863147735596,25.7836303710938,26.1843414306641,27.2951927185059,26.7036800384521,28.9212322235107,29.5842990875244,30.8724117279053,32.2900848388672,30.9023990631104,33.855339050293,34.4267082214355
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.9103889465332,20.5664100646973,21.3586692810059,21.9884757995605,22.7903099060059,23.4701499938965,23.857837677002,24.3836460113525,25.1783390045166,25.8926811218262,26.1765003204346,26.748743057251,27.3363265991211,28.1902141571045,28.6943092346191,29.1020641326904,29.6291484832764,30.1606693267822,30.8129501342773,31.3907604217529,32.0014686584473,32.6739616394043,33.6941909790039,32.632568359375,35.317211151123,36.7736358642578,38.3201713562012,36.1168403625488,39.00830078125,39.6601219177246
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.9518909454346,..,..,..,..,..,28.1203498840332,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6606187820435,14.960560798645,15.6331415176392,16.5759944915771,17.00950050354,16.9546508789062,17.2006053924561,17.7078399658203,18.0442371368408,18.498327255249,19.0958309173584,19.7339553833008,20.1221923828125,20.8722820281982,20.7405414581299,21.4861488342285,22.1828441619873,22.6372566223145,22.8173751831055,23.0159511566162,23.5750827789307,24.041841506958,24.5232048034668,24.965763092041,25.1670532226562,25.8279724121094,24.7432594299316,26.9205341339111,27.4101505279541,28.6246089935303,29.5982837677002,27.6687602996826,30.7867393493652,31.2949733734131
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.3827743530273,26.0272579193115,26.401891708374,26.5907287597656,27.2142467498779,27.9626522064209,28.0953540802002,28.338357925415,28.7901649475098,29.1991691589355,29.4430656433105,29.1710395812988,29.6425342559814,30.1227340698242,30.4290294647217,30.3829441070557,30.392879486084,30.6959362030029,31.3215713500977,31.9530906677246,31.9064407348633,32.3133583068848,33.1648406982422,31.3559093475342,34.6428718566895,35.2781105041504,36.6690216064453,33.926570892334,36.2365989685059,37.4134254455566
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.326150894165,..,..,..,..,..,31.1083793640137,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.5365695953369,12.8372888565063,13.5635137557983,14.3576068878174,14.9284429550171,15.1022348403931,15.3997430801392,15.9124097824097,16.242992401123,16.9841461181641,17.751781463623,18.2979965209961,18.7955856323242,19.6852111816406,19.7800674438477,20.6966361999512,21.4788188934326,21.9738655090332,22.4235858917236,22.6831531524658,23.551887512207,24.0642337799072,24.7599868774414,25.3839149475098,25.6870307922363,26.577808380127,25.7544403076172,27.9425659179688,28.5200099945068,29.7712154388428,30.970832824707,29.3322296142578,32.3500862121582,32.88818359375
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.5114917755127,23.1610221862793,23.7563571929932,24.181755065918,24.8992519378662,25.6073799133301,25.871997833252,26.2660140991211,26.8990001678467,27.4702453613281,27.7378349304199,27.9080905914307,28.4415740966797,29.1170692443848,29.5267772674561,29.7172565460205,29.9961318969727,30.418155670166,31.0561866760254,31.6606597900391,31.9557991027832,32.5007591247559,33.4396896362305,32.0158805847168,34.9924697875977,36.0551528930664,37.5242881774902,35.0492286682129,37.6611289978027,38.5680274963379
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,57.2000007629395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.5393676757812,..,..,..,..,..,..,..,..,91.7388763427734,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,61.5999984741211,..,64.6600570678711,..,..,..,67.9000015258789,..,..,..,..,74.2506484985352,..,..,..,..,79.2134475708008,..,..,..,82.7900695800781,83.3464584350586,84.0816497802734,85.101318359375,84.7497940063477,85.0795059204102,85.6327667236328,86.1390228271484,86.8938522338867,87.3911666870117,87.8803024291992,88.6841888427734,89.0565032958984,89.3918914794922,89.7512435913086,90.2203598022461,90.4908676147461,91.0618743896484,91.4816818237305,92.0101089477539,92.5331649780273,92.8317565917969,93.0813674926758,93.3555145263672,93.6479110717773,93.8281555175781,94.2608032226562,94.6484985351562,94.9135131835938,94.8671493530273,95.2390670776367,95.6152420043945,95.9839477539062,96.0787582397461
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,66.7732009887695,..,..,..,..,92.3747329711914,..,..,..,93.0972137451172,93.013671875,93.2828903198242,..,..,..,..,..,..,..,..,..,..,..,..,91.3606796264648,96.2784042358398,96.3255844116211,96.4170303344727,96.3749160766602,96.4688873291016,96.4873962402344,96.5578002929688,96.5789337158203,96.6689071655273,94.2598495483398,93.8805084228516,94.4630966186523,96.9673919677734,94.709716796875,94.7121734619141,94.9339828491211,95.0440216064453,95.1430130004883,95.3915863037109,95.4298477172852,95.4783782958984,95.7040634155273,95.0186920166016,96.0759582519531,97.6509704589844,96.5483474731445,95.4242782592773,96.651123046875,97.8671188354492
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,51.1817398071289,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.9621505737305,..,..,..,..,..,..,..,..,91.3275833129883,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,58.7508888244629,..,62.2182388305664,..,..,..,67.0817413330078,..,..,..,..,74.2811584472656,..,..,..,..,78.5133285522461,..,..,..,83.4132308959961,83.9129028320312,84.8839950561523,85.725456237793,85.5336685180664,86.2181854248047,86.612060546875,87.5628433227539,88.0746383666992,88.4225692749023,88.9504776000977,89.8323593139648,90.1067581176758,90.5712585449219,90.9807739257812,91.3520278930664,91.7312088012695,92.1179122924805,92.5901489257812,92.9185409545898,93.1409301757812,93.4728851318359,93.9972229003906,94.067741394043,94.2132339477539,94.6977996826172,94.680534362793,94.9624786376953,95.420768737793,95.3697814941406,95.7951736450195,96.2860412597656,96.2347412109375,96.529296875
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,64.4604187011719,..,..,..,..,91.1311798095703,..,..,..,92.304069519043,92.3500823974609,92.670051574707,..,..,..,..,..,..,..,..,..,..,..,..,90.9798889160156,95.9286117553711,96.0971374511719,96.1301803588867,96.2371063232422,96.4165802001953,96.3339385986328,96.3410263061523,96.3021697998047,96.2879257202148,93.8006896972656,93.4958801269531,93.8988571166992,96.5846710205078,94.243782043457,94.3448104858398,94.5925903320312,94.7511520385742,94.8125,95.0018692016602,95.0836791992188,95.1797866821289,95.456901550293,94.8094100952148,95.9792175292969,97.5718231201172,96.3666610717773,95.0670928955078,96.3259429931641,97.8290481567383
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,54.2000007629395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.3138198852539,..,..,..,..,..,..,..,..,91.5443572998047,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,60.2000007629395,..,63.4605102539062,..,..,..,67.5,..,..,..,..,74.2655181884766,..,..,..,..,78.8717269897461,..,..,..,83.0933456420898,83.6178283691406,84.472282409668,85.4048309326172,85.1307983398438,85.633056640625,86.1088714599609,86.8316497802734,87.4687423706055,87.893424987793,88.4019088745117,89.2443237304688,89.569206237793,89.9677505493164,90.3515243530273,90.7728652954102,91.0965347290039,91.5776596069336,92.0232772827148,92.4541397094727,92.8302536010742,93.145133972168,93.5289535522461,93.7035903930664,93.9242706298828,94.2533645629883,94.4660949707031,94.8020858764648,95.1618194580078,95.113395690918,95.5116195678711,95.9441070556641,96.1069641113281,96.3000946044922
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,65.6809310913086,..,..,..,..,91.7852401733398,..,..,..,92.7238235473633,92.7019882202148,92.993766784668,..,..,..,..,..,..,..,..,89.6204528808594,..,..,..,91.1790237426758,96.1122055053711,96.2169723510742,96.2803268432617,96.3092193603516,96.4440002441406,96.4144592285156,96.4546127319336,96.4470825195312,96.4871368408203,94.0394287109375,93.6958770751953,94.1919326782227,96.7838363647461,94.4855499267578,94.5352172851562,94.7695007324219,94.9027328491211,94.984489440918,95.2045288085938,95.2634735107422,95.3349685668945,95.5852432250977,94.9176025390625,96.0293731689453,97.6129455566406,96.4607696533203,95.2501678466797,96.4930725097656,97.8486099243164
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,6.19999980926514,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5489406585693,..,..,..,..,..,..,..,..,55.5272102355957,..,..,..,..,..,..,..,..,..,54.3386001586914,..,..,..,..,..,57.9101791381836,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.5,..,..,..,..,34.7065315246582,..,..,..,..,..,..,..,..,33.2574272155762,33.872688293457,34.8979072570801,36.611701965332,39.2961502075195,40.2457122802734,41.2341194152832,43.3717041015625,44.2089233398438,45.1914596557617,45.669246673584,47.3349533081055,48.3539695739746,49.4734764099121,50.5389633178711,52.1681365966797,54.1988410949707,54.3033332824707,55.1084060668945,55.5136642456055,56.971076965332,58.6228408813477,58.957878112793,59.704402923584,59.918628692627,61.0300941467285,60.4305305480957,62.8986206054688,63.9691734313965,65.1168518066406,66.1474227905273,62.920539855957,68.6005935668945,69.2165908813477
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.4138031005859,29.2770595550537,29.953104019165,30.7137680053711,31.6391868591309,32.3990325927734,33.3034553527832,34.1997299194336,34.9652481079102,..,..,..,37.7020378112793,..,..,..,..,..,..,..,..,..,45.9092216491699,..,47.8764915466309,..,49.8460350036621,..,51.0278244018555
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,8.6072998046875,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.264669418335,..,..,..,..,..,..,..,..,51.2354202270508,..,..,..,..,..,..,..,..,..,47.2976913452148,..,..,..,..,..,51.2393798828125,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.4095687866211,..,..,..,..,35.9088706970215,..,..,..,..,..,..,..,..,39.0864334106445,39.1892127990723,40.3117904663086,41.6272811889648,43.9662132263184,45.05224609375,45.5865364074707,48.0610122680664,48.6547241210938,49.2166481018066,49.5372772216797,50.9918327331543,51.772274017334,52.9939117431641,53.255558013916,54.4756317138672,57.9041900634766,56.201774597168,56.4278373718262,56.9492874145508,57.6925506591797,60.7312202453613,58.9513664245605,59.1701240539551,59.773494720459,60.7279624938965,60.3970184326172,61.6309547424316,62.381462097168,63.9759216308594,64.4706802368164,61.4580192565918,65.8976440429688,66.8202056884766
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.5947456359863,32.9619941711426,33.2234001159668,34.0497093200684,34.9868240356445,35.2522583007812,35.7121162414551,36.2433128356934,36.6454200744629,..,..,..,38.0063781738281,..,..,..,..,..,..,..,..,..,43.3115348815918,..,44.6951713562012,..,45.8285980224609,..,47.1489868164062
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,7.40000009536743,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.3646697998047,..,..,..,..,..,..,..,..,53.4974784851074,..,..,..,..,..,..,..,..,..,51.0059700012207,..,..,..,..,..,54.7408485412598,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.8999996185303,..,..,..,..,35.2925300598145,..,..,..,..,..,..,..,..,36.0941963195801,36.4585952758789,37.5337905883789,39.0508880615234,41.5660171508789,42.5823402404785,43.3501319885254,45.6528549194336,46.3734664916992,47.1515922546387,47.5545463562012,49.1189765930176,50.0226783752441,51.1924285888672,51.8652610778809,53.2947158813477,55.9819297790527,55.2305679321289,55.7530822753906,56.2153816223145,57.3237533569336,59.640308380127,58.9546966552734,59.4432792663574,59.8476753234863,60.8823738098145,60.4142990112305,62.2785263061523,63.1919555664062,64.5579147338867,65.3256530761719,62.2103805541992,67.2747039794922,68.0393142700195
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.4002952575684,31.028980255127,31.5116176605225,32.3040504455566,33.2317657470703,33.7552146911621,34.4499320983887,35.173282623291,35.7668762207031,..,..,..,37.8480033874512,..,..,..,..,..,..,..,..,..,44.6631660461426,..,46.3481178283691,..,47.914421081543,..,49.1423606872559
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,81.0999984741211,..,..,..,..,..,79.9000015258789,..,..,..,..,83.6508178710938,..,..,..,..,93.7005615234375,..,..,..,82.7900695800781,94.9454498291016,84.0816497802734,85.101318359375,84.7497940063477,85.0795059204102,85.6327667236328,86.1390228271484,86.8938522338867,87.3911666870117,87.8803024291992,88.6841888427734,89.0565032958984,89.3918914794922,89.7512435913086,90.2203598022461,90.4908676147461,91.0618743896484,91.4816818237305,92.0101089477539,92.5331649780273,92.8317565917969,93.0813674926758,93.3555145263672,93.6479110717773,93.8281555175781,94.2608032226562,94.6484985351562,94.9135131835938,94.8671493530273,95.2390670776367,95.6152420043945,95.9839477539062,96.0787582397461
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,95.0335388183594,..,..,..,..,..,..,..,..,..,96.6446304321289,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4179458618164,99.4459762573242,99.4293518066406,99.4703063964844,99.4754180908203,99.4878005981445,99.5083160400391,99.4881591796875,99.5175552368164,99.5161361694336,98.7111282348633,98.4959030151367,98.6378631591797,99.5919418334961,98.7320098876953,98.6214904785156,98.7053909301758,98.7037734985352,98.8281402587891,98.8688430786133,98.7663803100586,98.7678298950195,98.8974685668945,97.5888366699219,98.9852600097656,99.6304473876953,99.0882110595703,97.3503875732422,99.0954437255859,99.6151351928711
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,79.2684326171875,..,..,..,..,..,79.4908676147461,..,..,..,..,83.7957763671875,..,..,..,..,93.8611297607422,..,..,..,83.4132308959961,95.1876602172852,84.8839950561523,85.725456237793,85.5336685180664,86.2181854248047,86.612060546875,87.5628433227539,88.0746383666992,88.4225692749023,88.9504776000977,89.8323593139648,90.1067581176758,90.5712585449219,90.9807739257812,91.3520278930664,91.7312088012695,92.1179122924805,92.5901489257812,92.9185409545898,93.1409301757812,93.4728851318359,93.9972229003906,94.067741394043,94.2132339477539,94.6977996826172,94.680534362793,94.9624786376953,95.420768737793,95.3697814941406,95.7951736450195,96.2860412597656,96.2347412109375,96.529296875
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,93.8855590820312,..,..,..,..,..,..,..,..,..,96.1880187988281,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4442749023438,99.4819412231445,99.4681930541992,99.4907073974609,99.5255355834961,99.5877685546875,99.5449676513672,99.5451507568359,99.5426254272461,99.551139831543,98.3899383544922,98.3439407348633,98.4368515014648,99.5798950195312,98.6171188354492,98.5647964477539,98.6701889038086,98.731819152832,98.7496109008789,98.8650588989258,98.8226089477539,98.7804336547852,98.8551330566406,97.6035385131836,99.0813293457031,99.6698379516602,99.0209426879883,97.2186889648438,98.9535827636719,99.6895904541016
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,80.1999969482422,..,..,..,..,..,79.6999969482422,..,..,..,..,83.7214736938477,..,..,..,..,93.778938293457,..,..,..,83.0933456420898,95.0614929199219,84.472282409668,85.4048309326172,85.1307983398438,85.633056640625,86.1088714599609,86.8316497802734,87.4687423706055,87.893424987793,88.4019088745117,89.2443237304688,89.569206237793,89.9677505493164,90.3515243530273,90.7728652954102,91.0965347290039,91.5776596069336,92.0232772827148,92.4541397094727,92.8302536010742,93.145133972168,93.5289535522461,93.7035903930664,93.9242706298828,94.2533645629883,94.4660949707031,94.8020858764648,95.1618194580078,95.113395690918,95.5116195678711,95.9441070556641,96.1069641113281,96.3000946044922
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,94.4913787841797,..,..,..,..,..,..,..,..,..,96.4301605224609,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4304656982422,99.4630661010742,99.4478225708008,99.4800262451172,99.4993133544922,99.5353622436523,99.5257339477539,99.5152893066406,99.5295028686523,99.5328369140625,98.5569381713867,98.4229583740234,98.541259765625,99.5861663818359,98.6767272949219,98.5941772460938,98.6884307861328,98.7173004150391,98.7904815673828,98.8670196533203,98.7934112548828,98.7738800048828,98.8771133422852,97.5959396362305,99.0315322875977,99.6493682861328,99.055778503418,97.2861862182617,99.0264892578125,99.6513290405273
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,6.19999980926514,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5489406585693,..,..,..,..,..,..,..,..,27.8097896575928,..,..,..,..,..,..,..,..,..,41.2987403869629,..,..,..,..,..,45.2808494567871,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.9646492004395,..,..,..,33.2574272155762,19.6312503814697,34.8979072570801,36.611701965332,39.2961502075195,40.2457122802734,41.2341194152832,43.3717041015625,44.2089233398438,45.1914596557617,45.669246673584,47.0940017700195,48.3539695739746,49.4734764099121,50.5389633178711,52.1681365966797,45.7966194152832,54.3033332824707,55.1084060668945,55.5136642456055,56.971076965332,50.6233215332031,58.957878112793,59.704402923584,59.918628692627,61.0300941467285,53.7889709472656,62.8986206054688,63.9691734313965,65.1168518066406,66.1474227905273,52.949878692627,68.6005935668945,69.2165908813477
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,18.6632709503174,..,..,..,..,22.2000007629395,..,..,..,26.8999996185303,28.1006393432617,27.994270324707,..,..,..,..,..,..,..,..,..,..,..,..,44.5495109558105,28.4138031005859,29.2770595550537,29.953104019165,30.7137680053711,31.6391868591309,32.3990325927734,33.3034553527832,34.1997299194336,34.9652481079102,37.2069702148438,36.0050392150879,37.5999717712402,37.7020378112793,38.4406700134277,39.1529693603516,39.8992195129395,40.5313186645508,41.1223106384277,42.164680480957,42.8737182617188,43.4328994750977,44.6219596862793,45.9092216491699,46.4446411132812,47.8764915466309,49.7664489746094,49.8460350036621,50.2360305786133,51.0278244018555
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,8.6072998046875,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.264669418335,..,..,..,..,..,..,..,..,27.2722797393799,..,..,..,..,..,..,..,..,..,32.9876289367676,..,..,..,..,..,35.8719482421875,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.8330707550049,..,..,..,39.0864334106445,23.5949001312256,40.3117904663086,41.6272811889648,43.9662132263184,45.05224609375,45.5865364074707,48.0610122680664,48.6547241210938,49.2166481018066,49.5372772216797,34.3681602478027,51.772274017334,52.9939117431641,53.255558013916,54.4756317138672,41.7790107727051,56.201774597168,56.4278373718262,56.9492874145508,57.6925506591797,44.5129890441895,58.9513664245605,59.1701240539551,59.773494720459,60.7279624938965,45.2773208618164,61.6309547424316,62.381462097168,63.9759216308594,64.4706802368164,45.4312210083008,65.8976440429688,66.8202056884766
